Nom,Tel,Adresse,Quartier,Ville,Geographie
Pharmacie AL KINDI,0522507257,"LOTISSEMENT HAFDIA, RUE 1 NÂ° 48 - LES CRETES - AIN CHOCK (AVENUE 2 MARS - FACE LAMCALLA)",Aïn Chock,Casablanca,"33.5460177,-7.6068105"
Pharmacie DAKHLA,0522501082,HAY EL INARA I AV. DAKHLA NÂ°91,Aïn Chock,Casablanca,"33.5360696,-7.6038095"
Pharmacie YASMINA,0522219537,RUE 232 NÂ°69 HAY MOULAY ABDELLAH - (YASMINA) - AIN CHOCK,Aïn Chock,Casablanca,"33.542339,-7.5863774"
Pharmacie EL MAAROUFI,0522356596,ESPERANCE II - RUE 1 NÂ° 3 - ROUTE COTIERE 111 - AIN SEBAA,Aïn Sebaâ,Casablanca,"33.6188881,-7.5339715"
Pharmacie TARIK EL WAHDA,0522359163,ANG.RUE TARIK EL WAHDA & DERB LAKRAM - RUE NÂ° 1 AIN SEBAA,Aïn Sebaâ,Casablanca,"33.6080313,-7.5174644"
Pharmacie GRAR,0522741243,IMMEUBLE 13 NÂ° 7 - 2EME TRANCHE - HAY AL AZHAR - COMMUNE AHL LOGHLAM SIDI BERNOUSSI,Al Azhar Panorama,Casablanca,"33.5994228,-7.4882679"
Pharmacie ATLAS,0522307918,41 BD. MOULAY DRISS 1ER,Al Fida,Casablanca,"33.5877696,-7.6230933"
Pharmacie DU RIF,0522281287,"306, ROUTE DE MEDIOUNA",Al Fida,Casablanca,"33.5722371,-7.5994639"
Pharmacie MALIKA,0522807559,"579 BIS, BOULEVARD MOUDIBOU KEITA - (MOSQUEE SOUNNA - LYCEE MOULAY ABDELLAH)",Al Fida,Casablanca,"33.5619185,-7.6137758"
Pharmacie AL OUM,0522252929,PROLONGEMENT BOULEVARD. ANOUAL PAR BOULEVARD. ABDELMOUMEN (MOSQUEE AL IMANE - FACE JOUTIA DERB GHALLEF),Bourgogne,Casablanca,"33.5694141,-7.6307424"
Pharmacie DES ENFANTS,0522209044,34 RUE IBNOU JAHIR - AVENUE MEHDI BEN BARKA (EX. AV. CIMETIERE) AL HANK - BOURGOGNE (MASJID TAHIRI),Bourgogne,Casablanca,"33.6013224,-7.6469118"
Pharmacie DUNE D'ANFA,0522393030,"11, AVENUE DRISS SLAOUI - ANFA (EN FACE CLINIQUE VAL D'ANFA)",Bourgogne,Casablanca,"33.5916862,-7.6564816"
Pharmacie SEMLALI,0522896293,SIDI EL KHADIR NÂ° 83 ANGLE RUE 18 ET RUE 11 - HAY HASSANI,Hay Hassani,Casablanca,"33.5676038,-7.6918241"
Pharmacie YASMINE,0522365472,"207, BD.SIDI ABDERRAHMAN - EL HANA",Hay Hassani,Casablanca,"33.5720704,-7.671513"
